День 1,,Число,01.01,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,,,,,,
Упражнение,"Размин.
подход",Подход 1,,,Подход 2,,,Подход 3,,,Подход 4,,,Подход 5,,,Тоннаж,Комментарий к упражнению,,,Альтернативные упражнения
,,Вес наряда кг,Повторения,RIR,Вес наряда кг,Повторения,RIR,Вес наряда кг,Повторения,RIR,Вес наряда кг,Повторения,RIR,Вес наряда кг,Повторения,RIR,,,,,
Жим штанги лежа,1-3,,10-12,,,10-12,,,10-12,,,,,,,,30-12,,,,"Чест пресс, дефицитные отжимания"
Тяга верхнего блока обратным хватом,1,,10-12,,,10-12,,,10-12,,,,,,,,30-12,,,,"Подтягивания обратным хватом, подтягивания нейтральным хватом"
Жим гантелей стоя,1-3,,12-14,,,12-14,,,12-14,,,,,,,,#VALUE!,,,,"Армейский жим стоя, жим гантелей сидя"
Приседания со штангой,1-3,,10-12,,,10-12,,,10-12,,,,,,,,30-12,,,,"Жим ногами+гиперэкстензия, выпады, болгарские приседания"
Сгибание голени сидя,1,,12-14,,,12-14,,,12-14,,,,,,,,#VALUE!,,,,"Сгибание голени лежа, сгибание голени стоя"
Бицепс в тренажере Скотта,1,,12-14,,,12-14,,,12-14,,,,,,,,#VALUE!,,,,В Скотте со свободным весом
Икры на прямых ногах (опционально),1,,12-14,,,12-14,,,12-14,,,,,,,,#VALUE!,,,,"Икры с гантелью, любое комофртное упражнение на икры на прямых ногах"
Комментарий к тренировке:,,"Например, опиши общие впечатления о тренировке или любое важное для тебя замечание",,,,,,,Объем на МГ за тренирову,,,,,Мышцы разгибатели спины,,,3,,,,
,,,,,,,,,Грудные (верхние),,,,3,Бицепсы рук,,,3,,,,
,,,,,,,,,Грудные (нижние),,,,"3,75",Трицепсы (мед. и лат. головки),,,3,Длинная головка трицепса,,,"0,75"
,,,,,,,,,Передняя дельта,,,,3,Квадрицепсы (vasti),,,3,Квадрицепсы (прямая мышца бедра),,,0
,,,,,,,,,Средняя дельта,,,,0,Большие ягодичные,,,3,,,,
,,,,,,,,,Задняя дельта,,,,3,Средние ягодичные,,,0,,,,
,,,,,,,,,Трапециевидная (верх),,,,0,Бицепсы бедра,,,0,Бицепсы бедра (короткая головка),,,0
,,,,,,,,,Трапециевидная (середина),,,,"2,25",Икры (икроножные мышцы),,,0,,,,
,,,,,,,,,Трапециевидная (низ),,,,3,Икры (камбаловидные мышцы),,,0,,,,
,,,,,,,,,Широчайшие мышцы,,,,0,Пресс,,,"0,75",,,,
,,,,,,,,,,,,,,,,,,,,,
День 2,,Число,01.01,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,,,,,,
