День 1,,Число,01.01,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,,,,,,
Упражнение,"Размин.
подход",Подход 1,,,Подход 2,,,Подход 3,,,Подход 4,,,Подход 5,,,Тоннаж,Комментарий к упражнению,,,Альтернативные упражнения
,,Вес наряда кг,Повторения,RIR,Вес наряда кг,Повторения,RIR,Вес наряда кг,Повторения,RIR,Вес наряда кг,Повторения,RIR,Вес наряда кг,Повторения,RIR,,,,,
Отжимания (c колен),1-3,,14-16,,,14-16,,,14-16,,,,,,,,#VALUE!,,,,"Отжимания от возвышенности, классические отжимания, дефицитные отжимания"
Тяга верхнего блока обратным хватом,1-3,,14-16,,,14-16,,,14-16,,,,,,,,#VALUE!,,,,"Гравитрон, подтягивания"
Жим гантелей стоя,1-3,,14-16,,,14-16,,,14-16,,,,,,,,#VALUE!,,,,"Армейский жим стоя, жим гантелей сидя"
Приседания со штангой,1-3,,12-14,,,12-14,,,12-14,,,,,,,,#VALUE!,,,,"Жим ногами+гиперэкстензия, выпады, болгарские приседания"
Сгибание голени сидя,1,,14-16,,,14-16,,,14-16,,,,,,,,#VALUE!,,,,"Сгибание голени лежа, сгибание голени стоя"
Отведение бедра в кроссовере,1,,14-16,,,14-16,,,14-16,,,,,,,,#VALUE!,,,,"Отведение бедра в тренажере, отведение бедра с эспандером"
Комментарий к тренировке:,,"Например, опиши общие впечатления о тренировке или любое важное для тебя замечание",,,,,,,Объем на МГ за тренирову,,,,,Мышцы разгибатели спины,,,0,,,,
,,,,,,,,,Грудные (верхние),,,,0,Бицепсы рук,,,0,,,,
,,,,,,,,,Грудные (нижние),,,,0,Трицепсы (мед. и лат. головки),,,0,Длинная головка трицепса,,,0
,,,,,,,,,Передняя дельта,,,,0,Квадрицепсы (vasti),,,0,Квадрицепсы (прямая мышца бедра),,,0
,,,,,,,,,Средняя дельта,,,,0,Большие ягодичные,,,0,,,,
,,,,,,,,,Задняя дельта,,,,0,Средние ягодичные,,,0,,,,
,,,,,,,,,Трапециевидная (верх),,,,0,Бицепсы бедра,,,0,Бицепсы бедра (короткая головка,,,0
,,,,,,,,,Трапециевидная (середина),,,,0,Икры (икроножные мышцы),,,0,,,,
,,,,,,,,,Трапециевидная (низ),,,,0,Икры (камбаловидные мышцы),,,0,,,,
,,,,,,,,,Широчайшие мышцы,,,,0,Пресс,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,
День 2,,Число,01.01,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,"1,5-3 минуты отдых",,,,,,,,
